stdout: /buildkit-binaries/v0.9.3/buildkitd --oci-worker=true --oci-worker-binary=/buildkit-binaries/v0.9.3/buildkit-runc --containerd-worker=false --oci-worker-gc=false --oci-worker-labels=org.mobyproject.buildkit.worker.sandbox=true --config=/tmp/bkbench_config594947098/buildkitd.toml --root /tmp/bkbench_sandbox1677305676 --addr unix:///tmp/bkbench_sandbox1677305676/buildkitd.sock --debug --debugaddr 127.0.0.1:37507
stderr: /buildkit-binaries/v0.9.3/buildkitd --oci-worker=true --oci-worker-binary=/buildkit-binaries/v0.9.3/buildkit-runc --containerd-worker=false --oci-worker-gc=false --oci-worker-labels=org.mobyproject.buildkit.worker.sandbox=true --config=/tmp/bkbench_config594947098/buildkitd.toml --root /tmp/bkbench_sandbox1677305676 --addr unix:///tmp/bkbench_sandbox1677305676/buildkitd.sock --debug --debugaddr 127.0.0.1:37507
> StartCmd 2024-09-18 20:58:23.599532645 +0000 UTC m=+1471.027165019 /buildkit-binaries/v0.9.3/buildkitd --oci-worker=true --oci-worker-binary=/buildkit-binaries/v0.9.3/buildkit-runc --containerd-worker=false --oci-worker-gc=false --oci-worker-labels=org.mobyproject.buildkit.worker.sandbox=true --config=/tmp/bkbench_config594947098/buildkitd.toml --root /tmp/bkbench_sandbox1677305676 --addr unix:///tmp/bkbench_sandbox1677305676/buildkitd.sock --debug --debugaddr 127.0.0.1:37507
time="2024-09-18T20:58:23Z" level=debug msg="debug handlers listening at 127.0.0.1:37507"
time="2024-09-18T20:58:23Z" level=info msg="auto snapshotter: using overlayfs"
time="2024-09-18T20:58:23Z" level=warning msg="using host network as the default"
time="2024-09-18T20:58:23Z" level=info msg="found worker \"cwd7u87fbi5d7grk7zccud38z\", labels=map[org.mobyproject.buildkit.worker.executor:oci org.mobyproject.buildkit.worker.hostname:6eb579e4eda5 org.mobyproject.buildkit.worker.sandbox:true org.mobyproject.buildkit.worker.snapshotter:overlayfs], platforms=[linux/amd64 linux/arm64 linux/riscv64 linux/ppc64le linux/s390x linux/386 linux/mips64le linux/mips64 linux/arm/v7 linux/arm/v6]"
time="2024-09-18T20:58:23Z" level=info msg="found 1 workers, default=\"cwd7u87fbi5d7grk7zccud38z\""
time="2024-09-18T20:58:23Z" level=warning msg="currently, only the default worker can be used."
time="2024-09-18T20:58:23Z" level=info msg="running server on /tmp/bkbench_sandbox1677305676/buildkitd.sock"
time="2024-09-18T20:58:26Z" level=debug msg="session started" spanID=a5c5cb8c642149b5 traceID=a12353fd0f039a7e4709a508841f3adf
time="2024-09-18T20:58:27Z" level=debug msg="session started" spanID=dadb9e55a619a75a traceID=1de4e285b9e5572ed8d71cde988726fa
time="2024-09-18T20:58:27Z" level=debug msg="session started" spanID=2a242c6595deb497 traceID=d1363033e71fe4a69b1549a9ebfa2d9a
time="2024-09-18T20:58:27Z" level=debug msg="session started" spanID=434b5f44a98a987e traceID=47e80c2866b25dfa3cb2ed6b89c8319d
time="2024-09-18T20:58:27Z" level=debug msg="session started" spanID=68109c0b683ea546 traceID=d93dc42aa1105f29b874ee99013c063a
time="2024-09-18T20:58:27Z" level=debug msg="session started" spanID=ceaac24f7eb9f2db traceID=5f3cbd56be0bbe3c39b61c631803c544
time="2024-09-18T20:58:27Z" level=debug msg="session started" spanID=5c8b6d4e45d546b2 traceID=dee607090a29c424e84784050fe76c9f
time="2024-09-18T20:58:27Z" level=debug msg="session started" spanID=62caafd6649fcbec traceID=d34c2ea1513074d12b4a37b1d94da0a6
time="2024-09-18T20:58:27Z" level=debug msg="session started" spanID=20b2a741cb96b1e0 traceID=ff23985dfebcac9fc251fd7fada2d4e9
time="2024-09-18T20:58:27Z" level=debug msg="session started" spanID=82e1d90e10a2eeeb traceID=c5a0d3673d26b625eec90f2e82a2c0ce
time="2024-09-18T20:58:27Z" level=debug msg="session started" spanID=0bcdedf6c3464080 traceID=3e28d37b88301297f97e36b34c5df5f3
time="2024-09-18T20:58:27Z" level=debug msg="session started" spanID=1a086850e39edb14 traceID=d55e99206fbe7aae5f384b39ba8375d8
time="2024-09-18T20:58:27Z" level=debug msg="session started" spanID=687c72e6f458e2c9 traceID=91510a8b604380764860c39bfc750bf8
time="2024-09-18T20:58:27Z" level=debug msg="session started" spanID=ce1fb4c0d5d1e981 traceID=545e4edb7a3bc33fe577deb240ea572e
time="2024-09-18T20:58:27Z" level=debug msg="session started" spanID=488242e5bb107a1d traceID=7147e3b5ba153a3c038adbd3bd09d151
time="2024-09-18T20:58:27Z" level=debug msg="session started" spanID=672fea89f5ca8929 traceID=e7ddb397638dedda1b7baf9a5363a7eb
time="2024-09-18T20:58:27Z" level=debug msg="session started" spanID=7bd55cbf8cb4543c traceID=9a8a6b040ab5d292c2c60612028c6db0
time="2024-09-18T20:58:27Z" level=debug msg="session started" spanID=148ffaa49698fbcd traceID=57a1979610404402edc1c3eb8f071764
time="2024-09-18T20:58:27Z" level=debug msg="session started" spanID=992ab8e235011a69 traceID=4079a2964a4ea9fb7a79fbcf7f0e21e8
time="2024-09-18T20:58:27Z" level=debug msg="session started" spanID=364c03b72ffbb346 traceID=8a7d49cc83d36ac862729becc7e65b70
time="2024-09-18T20:58:27Z" level=debug msg="session started" spanID=59f4dca403357bf5 traceID=2ff0a416bd83951431e0781d70caade7
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=9f2968288692505e traceID=5e1e82797e7d508e75e9a55ec6f7ed05
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=76d6ceee13346a1f traceID=1415caa03e3835a561d67a6105d62dfa
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=ff3379d5bc909056 traceID=045378139677639d575693063c365249
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=2e07925d458df164 traceID=d2aa4bf6c44956fdfc39592aab055b35
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=5cae5bad24694f2a traceID=41855888782e3cfeebb9a95e711e4758
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=c0dc613770064bc3 traceID=578d13cac06d219640c0eec5ba591434
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=e24eb6d3c45bb8c7 traceID=9f844715972f402cf62869cc67566027
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=816d3fac15210914 traceID=043441650dec2a14324549c66599d896
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=b0970d6126554fd2 traceID=f3fe3e7532b171fee547a6e8aa788440
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=cb0a01fd54b2ecdc traceID=c729387dfc7ee238cccd4532ea62787d
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=ac0a9ea579dae6fb traceID=fa00f01b435935142033fa68f904ebed
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=29ddcfd31c4aac3e traceID=07df44161c6a73875c3bd6578d7539fc
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=f23fe44f6fe8cd68 traceID=a40a32e88d57fe312338890bb6d2a779
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=2793acdd473d276a traceID=543313e030c9aa115ed5864a393bc30c
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=b0fa08dea4eaa208 traceID=0b48800aa005de3a072a6cb86ef11042
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=34715f174ddc0e2b traceID=5dc480ad26430aabe681fa35164cbd75
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=22ec7d1e786d69ed traceID=b0f9b10753b7f35bdb3766010d3df67f
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=a73a74d695c48625 traceID=ef5fabd17355ac0abd6f26e0511358fd
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=bc5d9aa270dffa8b traceID=94d202262b3e8fe80fc914946371c670
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=684b9844520cfef0 traceID=c9317b075be4b6946f984d3cffd8b302
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=21010e72c5825ee2 traceID=45b7ebd366ad9bcfa3fe49e4e7fbd054
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=c4fcba9291928dae traceID=163fca38fd5ce65c43c7691a5e878369
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=b9406bc5de3c416c traceID=f29ce0e89307b2c1b92fbf677c7f3f1c
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=4cbb28519aa5f421 traceID=19e1546658513146e0f6c42c9a2fd080
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=e9e9e078d7d2b9a1 traceID=88b1ed837ea848e3eb2ff2073f5d33fe
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=ceff793035c83f4a traceID=785058b0e014b84cc02af4d5385f88a7
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=99727756296ac235 traceID=270b9cdbc4499948e32966eb71b57e74
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=347b0fda23fc9603 traceID=e859bd86060b24e4a1c673664a57df4f
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=28fea8e64ee211ac traceID=170e657e1cef59995d0c9d6fce0fec54
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=55ead6f98e5f5b44 traceID=c8a93ca345276073ce6174c0588e6e4e
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=58632aab7c1f50ef traceID=98fc04e6400ba7c429a061b603c92dab
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=f95b6363282b8b51 traceID=cf6f4ea2c5363e2b92bc37ed99782dc8
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=637766f37d389f99 traceID=712c4b257f2c579800df3675661f9202
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=7f451e1128346b36 traceID=8e0e29693f78bdc42f11e90772468016
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=88ea8854018ca6ee traceID=ae7db11ece9e5a0d10a9b45957b0cd8b
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=384e212414209be5 traceID=b7d7e5243aa52fedf8241c5ffa090230
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=03f2a26e5acf3439 traceID=9d0e19d274d5b865713658540532cf1c
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=6a5219923d4c2a35 traceID=81ff34e508a1d7e489f293dbe0efe71f
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=d36eac8ec96c4856 traceID=c74fcf2412bb3e8a9f5720453c6c9a5b
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=b8efda2008001baa traceID=d606ac72e6bcd0005ba86b591d7ef512
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=fb58a16bcdab70ac traceID=d5148b3fb5c059a724d5479827c2d440
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=87d293314f55c62a traceID=51f7cdadbd7c56790eb2aac4f182a980
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=3f367ee0fd6638bc traceID=73a230c6158c55e0c5e151bc6d941265
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=43fba056e5fe13dc traceID=77162818256d79a3d97c69d75eeed0ea
time="2024-09-18T20:58:28Z" level=debug msg="session started" spanID=9bc533043ad6193b traceID=940e2d9e5cb4ebb5f08b1d7a621fd0c3
time="2024-09-18T20:58:29Z" level=debug msg="session started" spanID=712b8846775073d0 traceID=815ee6aafd6cd46f8d2d5bef6d2fb5ca
time="2024-09-18T20:58:29Z" level=debug msg="session started" spanID=1899c2c808ec9a1c traceID=225fdc101d28721a2df44bcbf2edbc14
time="2024-09-18T20:58:29Z" level=debug msg="session started" spanID=37abb51ade536d40 traceID=f8f0aa04015e9c9165e000c0930df59f
time="2024-09-18T20:58:29Z" level=debug msg="session started" spanID=74c000871be1f720 traceID=97cf9480b2257955c7e9cd1673cd9198
time="2024-09-18T20:58:29Z" level=debug msg="session finished: <nil>" spanID=a5c5cb8c642149b5 traceID=a12353fd0f039a7e4709a508841f3adf
time="2024-09-18T20:58:29Z" level=debug msg="session started" spanID=8bde12074524e1f8 traceID=d01081deb9aa4a2b9b5b72bd1292aa23
time="2024-09-18T20:58:29Z" level=debug msg="session started" spanID=0de1a623f0052376 traceID=133b24d6002096bef8320b0ee8bac332
time="2024-09-18T20:58:29Z" level=debug msg="session started" spanID=ca28a7622e2db0b1 traceID=0790d0c20d262cd5e21ac4566c37ac3b
