stdout: /buildkit-binaries/2024-09-10/buildkitd --oci-worker=true --oci-worker-binary=/buildkit-binaries/2024-09-10/buildkit-runc --containerd-worker=false --oci-worker-gc=false --oci-worker-labels=org.mobyproject.buildkit.worker.sandbox=true --config=/tmp/bkbench_config685998636/buildkitd.toml --root /tmp/bkbench_sandbox2261756334 --addr unix:///tmp/bkbench_sandbox2261756334/buildkitd.sock --debug --debugaddr 127.0.0.1:33297
stderr: /buildkit-binaries/2024-09-10/buildkitd --oci-worker=true --oci-worker-binary=/buildkit-binaries/2024-09-10/buildkit-runc --containerd-worker=false --oci-worker-gc=false --oci-worker-labels=org.mobyproject.buildkit.worker.sandbox=true --config=/tmp/bkbench_config685998636/buildkitd.toml --root /tmp/bkbench_sandbox2261756334 --addr unix:///tmp/bkbench_sandbox2261756334/buildkitd.sock --debug --debugaddr 127.0.0.1:33297
> StartCmd 2024-09-18 21:49:53.517172949 +0000 UTC m=+128.368234889 /buildkit-binaries/2024-09-10/buildkitd --oci-worker=true --oci-worker-binary=/buildkit-binaries/2024-09-10/buildkit-runc --containerd-worker=false --oci-worker-gc=false --oci-worker-labels=org.mobyproject.buildkit.worker.sandbox=true --config=/tmp/bkbench_config685998636/buildkitd.toml --root /tmp/bkbench_sandbox2261756334 --addr unix:///tmp/bkbench_sandbox2261756334/buildkitd.sock --debug --debugaddr 127.0.0.1:33297
time="2024-09-18T21:49:53Z" level=warning msg="failed to get disk size: no such file or directory"
time="2024-09-18T21:49:53Z" level=warning msg="failed to get disk size: no such file or directory"
time="2024-09-18T21:49:53Z" level=debug msg="debug handlers listening at 127.0.0.1:33297"
time="2024-09-18T21:49:53Z" level=info msg="auto snapshotter: using overlayfs"
time="2024-09-18T21:49:53Z" level=warning msg="using host network as the default"
time="2024-09-18T21:49:53Z" level=info msg="found worker \"wkrtdduqbm4zkayilwp6ephva\", labels=map[org.mobyproject.buildkit.worker.executor:oci org.mobyproject.buildkit.worker.hostname:26c204958af1 org.mobyproject.buildkit.worker.network:host org.mobyproject.buildkit.worker.oci.process-mode:sandbox org.mobyproject.buildkit.worker.sandbox:true org.mobyproject.buildkit.worker.selinux.enabled:false org.mobyproject.buildkit.worker.snapshotter:overlayfs], platforms=[linux/amd64 linux/amd64/v2 linux/amd64/v3 linux/arm64 linux/riscv64 linux/ppc64le linux/s390x linux/386 linux/mips64le linux/mips64 linux/arm/v7 linux/arm/v6]"
time="2024-09-18T21:49:53Z" level=info msg="found 1 workers, default=\"wkrtdduqbm4zkayilwp6ephva\""
time="2024-09-18T21:49:53Z" level=warning msg="currently, only the default worker can be used."
time="2024-09-18T21:49:53Z" level=info msg="running server on /tmp/bkbench_sandbox2261756334/buildkitd.sock"
time="2024-09-18T21:49:53Z" level=debug msg="session started" spanID=2301bd9be7ce4769 traceID=90e548ed3e2b0fc5eea5e83630e9d96b
time="2024-09-18T21:49:53Z" level=debug msg="session started" spanID=795e0bb7739abb97 traceID=e91e84b53dcfc3800fabf2c9619c729e
time="2024-09-18T21:49:53Z" level=debug msg="session finished: <nil>" spanID=2301bd9be7ce4769 traceID=90e548ed3e2b0fc5eea5e83630e9d96b
time="2024-09-18T21:49:53Z" level=debug msg="session started" spanID=11c65406b65c5b7a traceID=532520b900223c5bcfcbb95a4e14a799
time="2024-09-18T21:49:53Z" level=debug msg="session started" spanID=94b3254148d8a00b traceID=cc739fa2a73f3ac513aaaf45aa78c73a
time="2024-09-18T21:49:53Z" level=debug msg="session finished: <nil>" spanID=795e0bb7739abb97 traceID=e91e84b53dcfc3800fabf2c9619c729e
