stderr: /buildkit-binaries/2024-09-12/buildkitd --oci-worker=true --oci-worker-binary=/buildkit-binaries/2024-09-12/buildkit-runc --containerd-worker=false --oci-worker-gc=false --oci-worker-labels=org.mobyproject.buildkit.worker.sandbox=true --config=/tmp/bkbench_config937527249/buildkitd.toml --root /tmp/bkbench_sandbox2118444667 --addr unix:///tmp/bkbench_sandbox2118444667/buildkitd.sock --debug --debugaddr 127.0.0.1:41823
> StartCmd 2024-09-18 21:50:44.023943409 +0000 UTC m=+178.875005359 /buildkit-binaries/2024-09-12/buildkitd --oci-worker=true --oci-worker-binary=/buildkit-binaries/2024-09-12/buildkit-runc --containerd-worker=false --oci-worker-gc=false --oci-worker-labels=org.mobyproject.buildkit.worker.sandbox=true --config=/tmp/bkbench_config937527249/buildkitd.toml --root /tmp/bkbench_sandbox2118444667 --addr unix:///tmp/bkbench_sandbox2118444667/buildkitd.sock --debug --debugaddr 127.0.0.1:41823
time="2024-09-18T21:50:44Z" level=warning msg="failed to get disk size: no such file or directory"
time="2024-09-18T21:50:44Z" level=warning msg="failed to get disk size: no such file or directory"
time="2024-09-18T21:50:44Z" level=debug msg="debug handlers listening at 127.0.0.1:41823"
time="2024-09-18T21:50:44Z" level=info msg="auto snapshotter: using overlayfs"
time="2024-09-18T21:50:44Z" level=warning msg="using host network as the default"
time="2024-09-18T21:50:44Z" level=info msg="found worker \"yqez6e33bctxtn1qi6rauf6gb\", labels=map[org.mobyproject.buildkit.worker.executor:oci org.mobyproject.buildkit.worker.hostname:26c204958af1 org.mobyproject.buildkit.worker.network:host org.mobyproject.buildkit.worker.oci.process-mode:sandbox org.mobyproject.buildkit.worker.sandbox:true org.mobyproject.buildkit.worker.selinux.enabled:false org.mobyproject.buildkit.worker.snapshotter:overlayfs], platforms=[linux/amd64 linux/amd64/v2 linux/amd64/v3 linux/arm64 linux/riscv64 linux/ppc64le linux/s390x linux/386 linux/mips64le linux/mips64 linux/arm/v7 linux/arm/v6]"
time="2024-09-18T21:50:44Z" level=info msg="found 1 workers, default=\"yqez6e33bctxtn1qi6rauf6gb\""
time="2024-09-18T21:50:44Z" level=warning msg="currently, only the default worker can be used."
time="2024-09-18T21:50:44Z" level=info msg="running server on /tmp/bkbench_sandbox2118444667/buildkitd.sock"
time="2024-09-18T21:50:44Z" level=debug msg="session started" spanID=e0a351aef9537ae7 traceID=8b87262817fb199700ef9c5100de3e62
time="2024-09-18T21:50:44Z" level=debug msg="session finished: <nil>" spanID=e0a351aef9537ae7 traceID=8b87262817fb199700ef9c5100de3e62
time="2024-09-18T21:50:44Z" level=debug msg="session started" spanID=c54e5b7127f819f7 traceID=0de24264457f213b5bc90aae6cc53adb
time="2024-09-18T21:50:44Z" level=debug msg="session started" spanID=b29b201cce328c59 traceID=5c9f164ac3ef11eecb7068e0bf6ec02e
time="2024-09-18T21:50:44Z" level=debug msg="session finished: <nil>" spanID=c54e5b7127f819f7 traceID=0de24264457f213b5bc90aae6cc53adb
time="2024-09-18T21:50:44Z" level=debug msg="session finished: <nil>" spanID=b29b201cce328c59 traceID=5c9f164ac3ef11eecb7068e0bf6ec02e
time="2024-09-18T21:50:44Z" level=debug msg="session started" spanID=45cc75d53e165925 traceID=8b87262817fb199700ef9c5100de3e62
time="2024-09-18T21:50:44Z" level=debug msg="session started" spanID=9fae8462d962ecff traceID=50fa9eae0b0f046202b4064a6a030545
time="2024-09-18T21:50:44Z" level=debug msg="session started" spanID=bb1a9ee51262bd07 traceID=4d7de8cd179e395949b60593f169be77
time="2024-09-18T21:50:44Z" level=debug msg="session started" spanID=eb3276b133ea27cd traceID=5c9f164ac3ef11eecb7068e0bf6ec02e
time="2024-09-18T21:50:44Z" level=debug msg="session started" spanID=33330f07160f8086 traceID=d35c66df76ddcc0f37423e9c773c1fe1
time="2024-09-18T21:50:44Z" level=debug msg="session started" spanID=bcbd894f6e981924 traceID=63c8a9656007b7ed4b7545c5bba72a26
time="2024-09-18T21:50:44Z" level=debug msg="session started" spanID=096515885dbe5bd3 traceID=8bb89366b34085c9e7abd07f1de5768c
time="2024-09-18T21:50:44Z" level=debug msg="session started" spanID=c50acef258d7faee traceID=0de24264457f213b5bc90aae6cc53adb
time="2024-09-18T21:50:44Z" level=debug msg="session started" spanID=e4bc8e99e41577c9 traceID=7f240e273ba49b2499230b570ed7da48
time="2024-09-18T21:50:45Z" level=debug msg="session started" spanID=82338419cee22dd9 traceID=f8db4d397400b1c4c8ca46011ce9586e
