stdout: /buildkit-binaries/v0.16.0/buildkitd --oci-worker=true --oci-worker-binary=/buildkit-binaries/v0.16.0/buildkit-runc --containerd-worker=false --oci-worker-gc=false --oci-worker-labels=org.mobyproject.buildkit.worker.sandbox=true --config=/tmp/bkbench_config742049746/buildkitd.toml --root /tmp/bkbench_sandbox571377816 --addr unix:///tmp/bkbench_sandbox571377816/buildkitd.sock --debug --debugaddr 127.0.0.1:37089
stderr: /buildkit-binaries/v0.16.0/buildkitd --oci-worker=true --oci-worker-binary=/buildkit-binaries/v0.16.0/buildkit-runc --containerd-worker=false --oci-worker-gc=false --oci-worker-labels=org.mobyproject.buildkit.worker.sandbox=true --config=/tmp/bkbench_config742049746/buildkitd.toml --root /tmp/bkbench_sandbox571377816 --addr unix:///tmp/bkbench_sandbox571377816/buildkitd.sock --debug --debugaddr 127.0.0.1:37089
> StartCmd 2024-09-18 22:10:12.023634641 +0000 UTC m=+1346.874696601 /buildkit-binaries/v0.16.0/buildkitd --oci-worker=true --oci-worker-binary=/buildkit-binaries/v0.16.0/buildkit-runc --containerd-worker=false --oci-worker-gc=false --oci-worker-labels=org.mobyproject.buildkit.worker.sandbox=true --config=/tmp/bkbench_config742049746/buildkitd.toml --root /tmp/bkbench_sandbox571377816 --addr unix:///tmp/bkbench_sandbox571377816/buildkitd.sock --debug --debugaddr 127.0.0.1:37089
time="2024-09-18T22:10:12Z" level=warning msg="failed to get disk size: no such file or directory"
time="2024-09-18T22:10:12Z" level=warning msg="failed to get disk size: no such file or directory"
time="2024-09-18T22:10:12Z" level=debug msg="debug handlers listening at 127.0.0.1:37089"
time="2024-09-18T22:10:12Z" level=info msg="auto snapshotter: using overlayfs"
time="2024-09-18T22:10:12Z" level=warning msg="using host network as the default"
time="2024-09-18T22:10:12Z" level=info msg="found worker \"2jw83u7zf2d59fod2p8hbd52n\", labels=map[org.mobyproject.buildkit.worker.executor:oci org.mobyproject.buildkit.worker.hostname:26c204958af1 org.mobyproject.buildkit.worker.network:host org.mobyproject.buildkit.worker.oci.process-mode:sandbox org.mobyproject.buildkit.worker.sandbox:true org.mobyproject.buildkit.worker.selinux.enabled:false org.mobyproject.buildkit.worker.snapshotter:overlayfs], platforms=[linux/amd64 linux/amd64/v2 linux/amd64/v3 linux/arm64 linux/riscv64 linux/ppc64le linux/s390x linux/386 linux/mips64le linux/mips64 linux/arm/v7 linux/arm/v6]"
time="2024-09-18T22:10:12Z" level=info msg="found 1 workers, default=\"2jw83u7zf2d59fod2p8hbd52n\""
time="2024-09-18T22:10:12Z" level=warning msg="currently, only the default worker can be used."
time="2024-09-18T22:10:12Z" level=info msg="running server on /tmp/bkbench_sandbox571377816/buildkitd.sock"
time="2024-09-18T22:10:12Z" level=debug msg="session started" spanID=66902828b5509773 traceID=81bd3d2b16584698154223229bc7e5dc
time="2024-09-18T22:10:12Z" level=debug msg="session started" spanID=447e481cbd7ff234 traceID=f01696bcced7baba06888bed4e72bebc
time="2024-09-18T22:10:12Z" level=debug msg="session started" spanID=f1b9a505f6e33bbc traceID=f4f3105622870180951b7a4d078185a8
time="2024-09-18T22:10:12Z" level=debug msg="session finished: <nil>" spanID=66902828b5509773 traceID=81bd3d2b16584698154223229bc7e5dc
time="2024-09-18T22:10:12Z" level=debug msg="session started" spanID=ab0d66dd61662b4f traceID=3e84715fbe99f4221b0f90e17a72096e
time="2024-09-18T22:10:12Z" level=debug msg="session started" spanID=b48580a3cdf4bf31 traceID=e80b6627398d72b8bc353fcfc42de1f6
time="2024-09-18T22:10:12Z" level=debug msg="session finished: <nil>" spanID=ab0d66dd61662b4f traceID=3e84715fbe99f4221b0f90e17a72096e
time="2024-09-18T22:10:12Z" level=debug msg="session finished: <nil>" spanID=447e481cbd7ff234 traceID=f01696bcced7baba06888bed4e72bebc
time="2024-09-18T22:10:12Z" level=debug msg="session started" spanID=a156c418fc771d44 traceID=81bd3d2b16584698154223229bc7e5dc
time="2024-09-18T22:10:12Z" level=debug msg="session started" spanID=e06e799fab5b0742 traceID=aa5a15115f0422ed1054a689b545da6f
time="2024-09-18T22:10:12Z" level=debug msg="session finished: <nil>" spanID=f1b9a505f6e33bbc traceID=f4f3105622870180951b7a4d078185a8
time="2024-09-18T22:10:12Z" level=debug msg="session finished: <nil>" spanID=b48580a3cdf4bf31 traceID=e80b6627398d72b8bc353fcfc42de1f6
time="2024-09-18T22:10:12Z" level=debug msg="session started" spanID=fb92cbcb2eff163c traceID=d59528512340c4a17cac7945e2ca90da
time="2024-09-18T22:10:12Z" level=debug msg="session started" spanID=f15f95f23e3ef722 traceID=1a3f14651821e00e4f996d0948c08116
time="2024-09-18T22:10:12Z" level=debug msg="session started" spanID=6f1838e6a9f43c03 traceID=940783a454ad071afeb3b7cf5e5588ec
time="2024-09-18T22:10:12Z" level=debug msg="session started" spanID=a5bb02dab9c29e39 traceID=150c5d5ff843baa9b4e583889d2b809a
time="2024-09-18T22:10:12Z" level=debug msg="session started" spanID=c91a0f1f745549e6 traceID=105b5951f0f069cd1e389c8baa3abbf0
time="2024-09-18T22:10:12Z" level=debug msg="session started" spanID=b4a6cc33778efb31 traceID=e80b6627398d72b8bc353fcfc42de1f6
time="2024-09-18T22:10:12Z" level=debug msg="session started" spanID=59388acda7ab7926 traceID=f01696bcced7baba06888bed4e72bebc
time="2024-09-18T22:10:12Z" level=debug msg="session started" spanID=f10c0f47e1306142 traceID=acf9e596c4974a636d77d63e2b7fbde2
time="2024-09-18T22:10:12Z" level=debug msg="session started" spanID=ed98ff5e91dbf12f traceID=eca67331f914a00ec8673e073ebdb97d
time="2024-09-18T22:10:12Z" level=debug msg="session started" spanID=7ba62feca7588c84 traceID=7479c55fc17c085388a2bca976fb9b49
time="2024-09-18T22:10:12Z" level=debug msg="session started" spanID=f88790e4cf5260f7 traceID=c84613d146a8cecc91cac475eae33632
time="2024-09-18T22:10:12Z" level=debug msg="session started" spanID=92beb57e5e8dd15b traceID=3e84715fbe99f4221b0f90e17a72096e
time="2024-09-18T22:10:12Z" level=debug msg="session started" spanID=60e27fe5c4a4b80c traceID=2ae1feabab5070700eca6df10f354144
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=5438b2ef76e77998 traceID=2b1a5e4b1e98fd8c2a081bc226eacaa5
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=ed3349d837b2c80f traceID=97e22c3a127888fb3099da37dee07076
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=129f46e5cbbdc8d8 traceID=f7a0a617adb1c391a989934717e50ef4
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=3606f477eaea24f3 traceID=40653146ab7ee4e4d19b60cc16d972dd
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=7315811093e61014 traceID=a96a8010e6c6c7b4229b2e79a1a9d33b
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=110d0d8ef004cc22 traceID=a35c1e797b202e577f4100947aabe1b1
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=5c678d9a6c6a6b8c traceID=05a119f58d2b5c450c4dfe598c13417d
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=fd882d636df5cb43 traceID=cf17b2fbaa77bf92804b1ba3e18215fa
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=542a2ff1cb4df863 traceID=c7c422a035a0a28df48f3855d683e4e4
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=e467eb1f0c84cebd traceID=6ed8b7f8667a2d529c6705eae3ed5fc6
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=c3de027b550fac86 traceID=d88a523743ac7b5770bd16f956f5eee6
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=a7b6b53ac0c2b1a7 traceID=c787be45f10efbf9dc30d5db43aad747
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=0f5ee58659f3359f traceID=4a799df2cae0b5bf5a60756e371883fd
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=2585c168b64c2e98 traceID=58fbe78098ade8ad7ad1ae5c5cdd7455
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=93a646c13deb3454 traceID=bd4227b07ae34522dad5c905835a11cc
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=ffe017557d86148e traceID=e223862ab4b015b044d36b50a3b64af2
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=b67dbfd17227c517 traceID=fa30566d4e402629f0139a6e1595e40a
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=a9d717dabaadb086 traceID=571825f8a9bd0bf830ca3ea5dc680407
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=3a67c8ad0a6cb46e traceID=e3c2d4528184c1b392a69399348c2c51
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=6f246ac811036b6f traceID=1e472c29ad3f4df3e7d465abab0903fa
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=f7ff78ba1c874e5c traceID=f85fa323e101c4d56ad33a03230e89bd
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=dd05552cd0d6224e traceID=db15308a537a7b7dcc497e965f381676
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=5ecf7a06dad028f2 traceID=3b77728871b712e37f58b9bc2257a572
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=70134e2c384dcdf6 traceID=5115b6d4cf28e0cbd4ed36efa1b6af5c
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=7d3ee1cb060b75c4 traceID=7e8109748326f0cf71da11adc281653e
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=c18337544254430f traceID=f4f3105622870180951b7a4d078185a8
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=ae420bef0b15f700 traceID=79d52c8ed2d1dce9da5b6ea056711b14
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=edcce2527d94ec4f traceID=9676151b22b6ae0099c937255b20baca
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=4eee07cd76524c23 traceID=d8e48b304bad21819161035b4c3abadb
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=eb615e9e56e9ad81 traceID=edc86cc55dd995c61093d7ca7fa01411
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=3f55d0cde7e517c7 traceID=49566a039203fa8789ecbb077703343b
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=fe99f78b1ec1ce44 traceID=b42fdcc2d30f1a5f6025fe3ad299b73a
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=031690a1bb2c6364 traceID=fae99c9b398a51540d78a7ae2125a1bf
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=dfec86404e4ebdf1 traceID=92ad5b45a432242e97622d430063d1f9
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=25efcab2d0a6ebc5 traceID=cc5b13f78a1d3cd38b05bc0c69aca724
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=59dc1fd0bb195ac4 traceID=42f8178b2285f74b8982830a38c4f808
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=435b38da3a56e405 traceID=dc047bfab95d1662089fe91848024b3d
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=8aac5a95d5be930a traceID=997c599842976c3fb378e4f0aba3cc7a
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=31f78669e9e461e8 traceID=b7284fa1a5fa6913a2ea4d4dca54b7d6
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=3fae700bd87e52d0 traceID=e8e0893aad8928ac259166600c67dd2b
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=a272bd5ad37c8045 traceID=0d0b594f3c38ab52d4cc72058bd89a8e
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=64564f3e44663664 traceID=3902fa3ecb66c924529e095417761e07
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=6da8afcd33837838 traceID=695669fa77211ae33a8607250c35d050
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=8fe9cb53b0857c7e traceID=29c2d4450ab8e0b5caf330de6ea0f275
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=6d1260fdff50388e traceID=15d540847f70bfbd222dae761978141b
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=934e7cda4390c015 traceID=3c8c7c87bef459f8e8a751b9d7cf1662
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=833e800d52e50b86 traceID=5afd06196ce3d2a26680ee89262b2260
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=dae374a9f84ad189 traceID=e02b1e789b056fa17bc02b03a9b903d1
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=21f1af816e303183 traceID=fbda27f9a908251c129331148184c5a6
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=522dc9c00b281346 traceID=c8af89cb9b5dc2945deb435361e23655
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=f9877bdd7d2ed4f6 traceID=4687dbc5057fb522e5d280ab688d55c8
time="2024-09-18T22:10:13Z" level=debug msg="session finished: <nil>" spanID=f10c0f47e1306142 traceID=acf9e596c4974a636d77d63e2b7fbde2
time="2024-09-18T22:10:13Z" level=debug msg="session finished: <nil>" spanID=6f1838e6a9f43c03 traceID=940783a454ad071afeb3b7cf5e5588ec
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=c5a82945cf0a168f traceID=9fb97b76e8f66f12ee80ef46f1a54bac
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=73a9da235a61abd6 traceID=b1c61c80754d29f2f6f0d52fd7938eb5
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=05c28e745aecc54f traceID=50a9a71b81ea7702bf7587db41a3929d
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=f8c6de4d604787d0 traceID=53617a1170e057314f6dd47ed6cc9c0e
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=42499e606d225b0f traceID=e9eb96a7fbbdbf91dcc0a8454b89ce9f
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=8ad1a3335b74443c traceID=cbe06cac014a3ead2bae21f9beb8374c
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=19bcf12a74b881c0 traceID=e6a1b4cadcaa13d34f3e0810e7809946
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=1a74ef5b67fb4369 traceID=2924afb934d178957a2cfeea17dbcc4c
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=0290eaf7341685f2 traceID=8808bbf9083c544a41831ea706b8de9b
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=49ac7b3f76c24898 traceID=19d44db611e6365e61845b491079ff00
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=35a8fc05b64abde3 traceID=e2996e716501fa4489990eb1eab4f6ed
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=fbd250728144daa8 traceID=e956c58f21dc391f85a5e41b497cacfe
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=9825baa4167926c0 traceID=e57a865388c712ca57d4b3898e26817b
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=7749a82bfb65d8a5 traceID=b227b65de059b6cb72ed5fd382251d08
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=2c64721ba4e0a93c traceID=8f7e617f27f0d5db7f5e1a241fd0e11c
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=cede888db72fedd8 traceID=3fb727b04ae3220b932661edba564bfb
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=3f5bf5af4d3901a1 traceID=3c6cd93e792e5cea04d4a68eea9253b1
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=9e9259e086429791 traceID=0acadd0a21550e13d2daab8986bebb5f
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=a7ae7c5e5b7273da traceID=57482bee63b007cae83ca5892d81799d
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=240476960a86aee2 traceID=c6a02281de66edb9768b23b795c2ed88
time="2024-09-18T22:10:13Z" level=debug msg="session finished: <nil>" spanID=fb92cbcb2eff163c traceID=d59528512340c4a17cac7945e2ca90da
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=b21e4741fd0ae0c3 traceID=94a0ae02e1b2f0d180d7a9da1b6705cd
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=26850c78fc79ed5e traceID=5317cc054dda93cb9ab42f37dc3dce4b
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=f725877c872562d1 traceID=41072379cb9f1b7e3236a0813609d127
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=4aab7e12596ab6f8 traceID=940783a454ad071afeb3b7cf5e5588ec
time="2024-09-18T22:10:13Z" level=debug msg="session started" spanID=0b3bf994f3e51424 traceID=ee8d8cf9510cfcdaee38551f4e05f1d2
