stderr: /buildkit-binaries/2024-09-11/buildkitd --oci-worker=true --oci-worker-binary=/buildkit-binaries/2024-09-11/buildkit-runc --containerd-worker=false --oci-worker-gc=false --oci-worker-labels=org.mobyproject.buildkit.worker.sandbox=true --config=/tmp/bkbench_config2828673951/buildkitd.toml --root /tmp/bkbench_sandbox3891656291 --addr unix:///tmp/bkbench_sandbox3891656291/buildkitd.sock --debug --debugaddr 127.0.0.1:45575
> StartCmd 2024-09-23 09:35:11.811762407 +0000 UTC m=+67.656014187 /buildkit-binaries/2024-09-11/buildkitd --oci-worker=true --oci-worker-binary=/buildkit-binaries/2024-09-11/buildkit-runc --containerd-worker=false --oci-worker-gc=false --oci-worker-labels=org.mobyproject.buildkit.worker.sandbox=true --config=/tmp/bkbench_config2828673951/buildkitd.toml --root /tmp/bkbench_sandbox3891656291 --addr unix:///tmp/bkbench_sandbox3891656291/buildkitd.sock --debug --debugaddr 127.0.0.1:45575
time="2024-09-23T09:35:11Z" level=warning msg="failed to get disk size: no such file or directory"
time="2024-09-23T09:35:11Z" level=warning msg="failed to get disk size: no such file or directory"
time="2024-09-23T09:35:11Z" level=debug msg="debug handlers listening at 127.0.0.1:45575"
time="2024-09-23T09:35:11Z" level=info msg="auto snapshotter: using overlayfs"
time="2024-09-23T09:35:11Z" level=warning msg="using host network as the default"
time="2024-09-23T09:35:11Z" level=info msg="found worker \"arx9nd5csxeqi3u0vk6pd5aly\", labels=map[org.mobyproject.buildkit.worker.executor:oci org.mobyproject.buildkit.worker.hostname:4af4102dbd1f org.mobyproject.buildkit.worker.network:host org.mobyproject.buildkit.worker.oci.process-mode:sandbox org.mobyproject.buildkit.worker.sandbox:true org.mobyproject.buildkit.worker.selinux.enabled:false org.mobyproject.buildkit.worker.snapshotter:overlayfs], platforms=[linux/amd64 linux/amd64/v2 linux/amd64/v3 linux/arm64 linux/riscv64 linux/ppc64le linux/s390x linux/386 linux/mips64le linux/mips64 linux/arm/v7 linux/arm/v6]"
time="2024-09-23T09:35:11Z" level=info msg="found 1 workers, default=\"arx9nd5csxeqi3u0vk6pd5aly\""
time="2024-09-23T09:35:11Z" level=warning msg="currently, only the default worker can be used."
time="2024-09-23T09:35:11Z" level=info msg="running server on /tmp/bkbench_sandbox3891656291/buildkitd.sock"
time="2024-09-23T09:35:12Z" level=debug msg="session started" spanID=4913f4b00e34e005 traceID=432063613b377460a0f5ca27e6fb8c6c
time="2024-09-23T09:35:12Z" level=debug msg="session started" spanID=5c2b63692fab7482 traceID=287ee9b423946c734eccfa03fb6a245b
time="2024-09-23T09:35:12Z" level=debug msg="session finished: <nil>" spanID=4913f4b00e34e005 traceID=432063613b377460a0f5ca27e6fb8c6c
time="2024-09-23T09:35:12Z" level=debug msg="session started" spanID=f0dfda82b7912ba4 traceID=4b2c411599e1a33a67facc1918fada1a
time="2024-09-23T09:35:12Z" level=debug msg="session started" spanID=35c33ed016940c57 traceID=f814edca4edf7914f25a5704c5485adb
