stdout: /buildkit-binaries/master/buildkitd --oci-worker=true --oci-worker-binary=/buildkit-binaries/master/buildkit-runc --containerd-worker=false --oci-worker-gc=false --oci-worker-labels=org.mobyproject.buildkit.worker.sandbox=true --config=/tmp/bkbench_config3285861566/buildkitd.toml --root /tmp/bkbench_sandbox623949235 --addr unix:///tmp/bkbench_sandbox623949235/buildkitd.sock --debug --debugaddr 127.0.0.1:43051
stderr: /buildkit-binaries/master/buildkitd --oci-worker=true --oci-worker-binary=/buildkit-binaries/master/buildkit-runc --containerd-worker=false --oci-worker-gc=false --oci-worker-labels=org.mobyproject.buildkit.worker.sandbox=true --config=/tmp/bkbench_config3285861566/buildkitd.toml --root /tmp/bkbench_sandbox623949235 --addr unix:///tmp/bkbench_sandbox623949235/buildkitd.sock --debug --debugaddr 127.0.0.1:43051
> StartCmd 2024-09-23 09:37:21.105565378 +0000 UTC m=+196.949817108 /buildkit-binaries/master/buildkitd --oci-worker=true --oci-worker-binary=/buildkit-binaries/master/buildkit-runc --containerd-worker=false --oci-worker-gc=false --oci-worker-labels=org.mobyproject.buildkit.worker.sandbox=true --config=/tmp/bkbench_config3285861566/buildkitd.toml --root /tmp/bkbench_sandbox623949235 --addr unix:///tmp/bkbench_sandbox623949235/buildkitd.sock --debug --debugaddr 127.0.0.1:43051
time="2024-09-23T09:37:21Z" level=warning msg="failed to get disk size: no such file or directory"
time="2024-09-23T09:37:21Z" level=warning msg="failed to get disk size: no such file or directory"
time="2024-09-23T09:37:21Z" level=debug msg="debug handlers listening at 127.0.0.1:43051"
time="2024-09-23T09:37:21Z" level=info msg="auto snapshotter: using overlayfs"
time="2024-09-23T09:37:21Z" level=warning msg="using host network as the default"
time="2024-09-23T09:37:21Z" level=info msg="found worker \"ireyryols5gqinuwogcz5fodc\", labels=map[org.mobyproject.buildkit.worker.executor:oci org.mobyproject.buildkit.worker.hostname:4af4102dbd1f org.mobyproject.buildkit.worker.network:host org.mobyproject.buildkit.worker.oci.process-mode:sandbox org.mobyproject.buildkit.worker.sandbox:true org.mobyproject.buildkit.worker.selinux.enabled:false org.mobyproject.buildkit.worker.snapshotter:overlayfs], platforms=[linux/amd64 linux/amd64/v2 linux/amd64/v3 linux/arm64 linux/riscv64 linux/ppc64le linux/s390x linux/386 linux/mips64le linux/mips64 linux/arm/v7 linux/arm/v6]"
time="2024-09-23T09:37:21Z" level=info msg="found 1 workers, default=\"ireyryols5gqinuwogcz5fodc\""
time="2024-09-23T09:37:21Z" level=warning msg="currently, only the default worker can be used."
time="2024-09-23T09:37:21Z" level=info msg="running server on /tmp/bkbench_sandbox623949235/buildkitd.sock"
time="2024-09-23T09:37:21Z" level=debug msg="session started" spanID=83f8a9026cfe6e8b traceID=6ab6c423a99f0dc3af6fb3f10004b091
time="2024-09-23T09:37:21Z" level=debug msg="session started" spanID=2f037ae7480101ab traceID=bfa7d4402cdedb95be2151c6595b416d
time="2024-09-23T09:37:21Z" level=debug msg="session started" spanID=ba90e29c64f32974 traceID=4d1aeefe7a811ad4ce9c6057f8bb73b0
time="2024-09-23T09:37:21Z" level=debug msg="session started" spanID=bae9b06524a8a5d2 traceID=61a81ef3f14d77559d20023c7b7b6086
time="2024-09-23T09:37:21Z" level=debug msg="session started" spanID=33e9ddb5662c6dfc traceID=280b5eeea751eba6c62fead7b79ee7f0
time="2024-09-23T09:37:21Z" level=debug msg="session started" spanID=94d95a9eb62d099b traceID=db11f2ddf9e8cb54bbf1a352e67a8f7a
time="2024-09-23T09:37:21Z" level=debug msg="session started" spanID=494ec1fdab820551 traceID=76085c44b8c70f81cdbd4c9efa056e72
time="2024-09-23T09:37:21Z" level=debug msg="session finished: <nil>" spanID=33e9ddb5662c6dfc traceID=280b5eeea751eba6c62fead7b79ee7f0
time="2024-09-23T09:37:21Z" level=debug msg="session finished: <nil>" spanID=2f037ae7480101ab traceID=bfa7d4402cdedb95be2151c6595b416d
time="2024-09-23T09:37:21Z" level=debug msg="session finished: <nil>" spanID=bae9b06524a8a5d2 traceID=61a81ef3f14d77559d20023c7b7b6086
time="2024-09-23T09:37:21Z" level=debug msg="session finished: <nil>" spanID=83f8a9026cfe6e8b traceID=6ab6c423a99f0dc3af6fb3f10004b091
time="2024-09-23T09:37:21Z" level=debug msg="session finished: <nil>" spanID=94d95a9eb62d099b traceID=db11f2ddf9e8cb54bbf1a352e67a8f7a
time="2024-09-23T09:37:21Z" level=debug msg="session finished: <nil>" spanID=ba90e29c64f32974 traceID=4d1aeefe7a811ad4ce9c6057f8bb73b0
time="2024-09-23T09:37:21Z" level=debug msg="session started" spanID=aac02f5728b21a3d traceID=9037c0469a4633c15a786e4db01f8708
time="2024-09-23T09:37:21Z" level=debug msg="session started" spanID=c332a02ecb583ab3 traceID=a6f211f96e371d2d2933506f6baed22d
time="2024-09-23T09:37:21Z" level=debug msg="session started" spanID=cc9e7da72a5d615d traceID=be5f7b63f2b107e65f6f425c57d89940
time="2024-09-23T09:37:21Z" level=debug msg="session started" spanID=9dbbc71a2c77ce80 traceID=280b5eeea751eba6c62fead7b79ee7f0
time="2024-09-23T09:37:21Z" level=debug msg="session started" spanID=017c972450734895 traceID=f00c2bb0b220d54a7d2ad8eccf52f911
time="2024-09-23T09:37:21Z" level=debug msg="session finished: <nil>" spanID=494ec1fdab820551 traceID=76085c44b8c70f81cdbd4c9efa056e72
time="2024-09-23T09:37:21Z" level=debug msg="session started" spanID=e124fe4cc6513a4d traceID=9295c69ef4173344c22e8a242afe8489
time="2024-09-23T09:37:21Z" level=debug msg="session started" spanID=b592e2cb3136fb67 traceID=d133b7771c7b2a2947b962bb58ee37fc
time="2024-09-23T09:37:21Z" level=debug msg="session started" spanID=a082b70374d05cd2 traceID=254e0a4f6a9228e89b53380ca26f9188
time="2024-09-23T09:37:21Z" level=debug msg="session started" spanID=51c6a614561d1f3f traceID=db11f2ddf9e8cb54bbf1a352e67a8f7a
time="2024-09-23T09:37:21Z" level=debug msg="session started" spanID=a8c16619703b5ba7 traceID=fe56a10a89be4a77f1f0ca1eeb423597
time="2024-09-23T09:37:21Z" level=debug msg="session started" spanID=010719275a5e105f traceID=4d1aeefe7a811ad4ce9c6057f8bb73b0
time="2024-09-23T09:37:22Z" level=debug msg="session finished: <nil>" spanID=c332a02ecb583ab3 traceID=a6f211f96e371d2d2933506f6baed22d
time="2024-09-23T09:37:22Z" level=debug msg="session started" spanID=a15de6d618c79e26 traceID=6aa25d5b8db64296b3cd4e551863d04e
time="2024-09-23T09:37:22Z" level=debug msg="session started" spanID=bafec741fa7acb4c traceID=2eec2de215164108fc95821b5d1999f5
time="2024-09-23T09:37:22Z" level=debug msg="session started" spanID=f10986a993918b05 traceID=914f67a244e097f7275af7717f72176a
time="2024-09-23T09:37:22Z" level=debug msg="session started" spanID=6786a8ad0bad62ec traceID=76085c44b8c70f81cdbd4c9efa056e72
time="2024-09-23T09:37:22Z" level=debug msg="session started" spanID=f6dd721a41961951 traceID=b28c49e3c80eedc5a930e9ef7e18d63c
time="2024-09-23T09:37:22Z" level=debug msg="session started" spanID=a926d676a9e107d2 traceID=69233735885c92e9cd3475fa17520e0e
time="2024-09-23T09:37:22Z" level=debug msg="session started" spanID=258c408eeb5edbd8 traceID=442075b91162a373251d207de9b0b9ee
time="2024-09-23T09:37:22Z" level=debug msg="session started" spanID=cd0c389141009dcd traceID=e61ea88681b64672ad415c74300282ad
time="2024-09-23T09:37:22Z" level=debug msg="session started" spanID=930eead3428f2bdd traceID=bfa7d4402cdedb95be2151c6595b416d
time="2024-09-23T09:37:22Z" level=debug msg="session started" spanID=d326fe862ebe34f1 traceID=6ab6c423a99f0dc3af6fb3f10004b091
