stdout: /buildkit-binaries/pr-5342/buildkitd --oci-worker=true --oci-worker-binary=/buildkit-binaries/pr-5342/buildkit-runc --containerd-worker=false --oci-worker-gc=false --oci-worker-labels=org.mobyproject.buildkit.worker.sandbox=true --config=/tmp/bkbench_config2519748729/buildkitd.toml --root /tmp/bkbench_sandbox796360535 --addr unix:///tmp/bkbench_sandbox796360535/buildkitd.sock --debug --debugaddr 127.0.0.1:42565
stderr: /buildkit-binaries/pr-5342/buildkitd --oci-worker=true --oci-worker-binary=/buildkit-binaries/pr-5342/buildkit-runc --containerd-worker=false --oci-worker-gc=false --oci-worker-labels=org.mobyproject.buildkit.worker.sandbox=true --config=/tmp/bkbench_config2519748729/buildkitd.toml --root /tmp/bkbench_sandbox796360535 --addr unix:///tmp/bkbench_sandbox796360535/buildkitd.sock --debug --debugaddr 127.0.0.1:42565
> StartCmd 2024-09-23 12:05:23.460790619 +0000 UTC m=+198.103290240 /buildkit-binaries/pr-5342/buildkitd --oci-worker=true --oci-worker-binary=/buildkit-binaries/pr-5342/buildkit-runc --containerd-worker=false --oci-worker-gc=false --oci-worker-labels=org.mobyproject.buildkit.worker.sandbox=true --config=/tmp/bkbench_config2519748729/buildkitd.toml --root /tmp/bkbench_sandbox796360535 --addr unix:///tmp/bkbench_sandbox796360535/buildkitd.sock --debug --debugaddr 127.0.0.1:42565
time="2024-09-23T12:05:23Z" level=warning msg="failed to get disk size: no such file or directory"
time="2024-09-23T12:05:23Z" level=warning msg="failed to get disk size: no such file or directory"
time="2024-09-23T12:05:23Z" level=debug msg="debug handlers listening at 127.0.0.1:42565"
time="2024-09-23T12:05:23Z" level=info msg="auto snapshotter: using overlayfs"
time="2024-09-23T12:05:23Z" level=warning msg="using host network as the default"
time="2024-09-23T12:05:23Z" level=info msg="found worker \"dgi4d5k8ji2d6g6cw33zz8g7p\", labels=map[org.mobyproject.buildkit.worker.executor:oci org.mobyproject.buildkit.worker.hostname:147448b8e79a org.mobyproject.buildkit.worker.network:host org.mobyproject.buildkit.worker.oci.process-mode:sandbox org.mobyproject.buildkit.worker.sandbox:true org.mobyproject.buildkit.worker.selinux.enabled:false org.mobyproject.buildkit.worker.snapshotter:overlayfs], platforms=[linux/amd64 linux/amd64/v2 linux/amd64/v3 linux/arm64 linux/riscv64 linux/ppc64le linux/s390x linux/386 linux/mips64le linux/mips64 linux/arm/v7 linux/arm/v6]"
time="2024-09-23T12:05:23Z" level=info msg="found 1 workers, default=\"dgi4d5k8ji2d6g6cw33zz8g7p\""
time="2024-09-23T12:05:23Z" level=warning msg="currently, only the default worker can be used."
time="2024-09-23T12:05:23Z" level=info msg="running server on /tmp/bkbench_sandbox796360535/buildkitd.sock"
time="2024-09-23T12:05:23Z" level=debug msg="session started" spanID=49b8fdfc6ebba61c traceID=3b5d22478e40c66ffa26a08941908a58
time="2024-09-23T12:05:23Z" level=debug msg="session finished: <nil>" spanID=49b8fdfc6ebba61c traceID=3b5d22478e40c66ffa26a08941908a58
time="2024-09-23T12:05:23Z" level=debug msg="session started" spanID=3c3aeda74719f567 traceID=1edea7abef624d0bb5ce82ef579a6e67
time="2024-09-23T12:05:23Z" level=debug msg="session started" spanID=da01e5d2693a7c6f traceID=3b5d22478e40c66ffa26a08941908a58
time="2024-09-23T12:05:23Z" level=debug msg="session started" spanID=0d13bc2dde1d0dc9 traceID=ebd68cbc516604fc7836e67e43fdc43b
time="2024-09-23T12:05:24Z" level=debug msg="session started" spanID=55b283884e1d31f7 traceID=cdb4f7be980d2e598a890ebdd3e92199
time="2024-09-23T12:05:24Z" level=debug msg="session started" spanID=db308870f614f2f5 traceID=be5169fe79dfad0bd9b1757b748820f9
time="2024-09-23T12:05:24Z" level=debug msg="session started" spanID=bd520f483a1e7164 traceID=944e12f9f4c2a7758b6d2398376ffbaf
time="2024-09-23T12:05:24Z" level=debug msg="session started" spanID=ec8a403b40a74725 traceID=97029e85d5f6d8a7db4022bf90335f44
time="2024-09-23T12:05:24Z" level=debug msg="session started" spanID=6071305f8328e656 traceID=8ce11d9db0eeb9ea7dcabbc1fb73ef37
time="2024-09-23T12:05:24Z" level=debug msg="session started" spanID=0a1dc11c43964db0 traceID=8a267d1bd5e5de73935416dc28d27353
time="2024-09-23T12:05:24Z" level=debug msg="session started" spanID=ad868d2522ead48e traceID=fb04372111cebdd08b5bdf7f947e5d5f
time="2024-09-23T12:05:24Z" level=debug msg="session started" spanID=8f45a882ea3a675f traceID=7040ca052c49c0b020ac7dc2d4587071
time="2024-09-23T12:05:24Z" level=debug msg="session started" spanID=dd75deec4449f0a2 traceID=ae5e324fd23e14ef3a5fa1bec370a6f0
time="2024-09-23T12:05:24Z" level=debug msg="session started" spanID=9bc7b11411c52d62 traceID=3326979e987fa7c01f043c50746b75e6
time="2024-09-23T12:05:24Z" level=debug msg="session started" spanID=284af6dcae3ad49c traceID=6b3211b76b1ae43dde4fe9e82e82f718
time="2024-09-23T12:05:24Z" level=debug msg="session started" spanID=59574bedbda85704 traceID=476ea5d15c04ff1638fe99e6ac71ef9e
time="2024-09-23T12:05:24Z" level=debug msg="session started" spanID=d0ca86273c60162e traceID=b373924592e847049e6684d2756ca5e3
time="2024-09-23T12:05:24Z" level=debug msg="session started" spanID=f0aa359ce4f4c168 traceID=d7000781656fa4b9a6ea16688d2d3537
time="2024-09-23T12:05:24Z" level=debug msg="session started" spanID=fd40e04933a77a78 traceID=2be960bbc7ce5af5e9cdde6b46709760
time="2024-09-23T12:05:24Z" level=debug msg="session started" spanID=5d07bcbe1690029d traceID=f6455b2a8f4f996a2d0feb8bea74afe5
time="2024-09-23T12:05:24Z" level=debug msg="session started" spanID=54a05fcd214d3edd traceID=bcc011920fbb066d11ab4b9423eb200e
time="2024-09-23T12:05:24Z" level=debug msg="session started" spanID=b6efb0b2d6739991 traceID=794f6dd9124a02938cc9c10b20ba5c4c
time="2024-09-23T12:05:24Z" level=debug msg="session started" spanID=6eef19cb68a78a58 traceID=b8266d08518d96aa2f98ac19560c8dd3
time="2024-09-23T12:05:24Z" level=debug msg="session started" spanID=f79dafc7e579d416 traceID=46e55b7401c8231cf23626c0a1a55bf0
time="2024-09-23T12:05:24Z" level=debug msg="session started" spanID=88b5307d5a808cc6 traceID=7fd68055d1b80f2a6618fd164a369e48
time="2024-09-23T12:05:24Z" level=debug msg="session started" spanID=8919dfc9da1f7b38 traceID=f4201e41c79f5b43a50f831ff2701c4d
time="2024-09-23T12:05:24Z" level=debug msg="session started" spanID=f0261829d1fd4bec traceID=362ea7a1d5de00b85617773cc19757ef
time="2024-09-23T12:05:24Z" level=debug msg="session started" spanID=e5aa8ecac8687127 traceID=d2cdd94244985f9f841bde328b589cb1
time="2024-09-23T12:05:24Z" level=debug msg="session started" spanID=bf9d77824a95b4c4 traceID=cc8c8d8afe2fd43599309768ddc86cbc
time="2024-09-23T12:05:24Z" level=debug msg="session started" spanID=729c741043945d42 traceID=cca906ae79fc3118889c22354a329c0e
time="2024-09-23T12:05:24Z" level=debug msg="session started" spanID=ce4252e1f72b8a1f traceID=27e65c87a6c3747356676b4ff449f456
time="2024-09-23T12:05:24Z" level=debug msg="session started" spanID=bd6edf449ef29844 traceID=b3bac68f444f463363c252827ea85650
time="2024-09-23T12:05:24Z" level=debug msg="session started" spanID=40e466cb0a43e2c0 traceID=302f868546af1354b85081b9e50e2b00
time="2024-09-23T12:05:24Z" level=debug msg="session started" spanID=c9f8d4ff06d40eb7 traceID=a3e943ef6f5fd21976d67407ca069172
time="2024-09-23T12:05:24Z" level=debug msg="session started" spanID=d58f60c8859363c0 traceID=7eb0ddb589b140d1b035b4ead6bb902c
