stderr: /buildkit-binaries/v0.9.0/buildkitd --oci-worker=true --oci-worker-binary=/buildkit-binaries/v0.9.0/buildkit-runc --containerd-worker=false --oci-worker-gc=false --oci-worker-labels=org.mobyproject.buildkit.worker.sandbox=true --config=/tmp/bkbench_config3989383179/buildkitd.toml --root /tmp/bkbench_sandbox2265801043 --addr unix:///tmp/bkbench_sandbox2265801043/buildkitd.sock --debug --debugaddr 127.0.0.1:45099
> StartCmd 2024-09-23 12:25:56.802651581 +0000 UTC m=+1431.445151202 /buildkit-binaries/v0.9.0/buildkitd --oci-worker=true --oci-worker-binary=/buildkit-binaries/v0.9.0/buildkit-runc --containerd-worker=false --oci-worker-gc=false --oci-worker-labels=org.mobyproject.buildkit.worker.sandbox=true --config=/tmp/bkbench_config3989383179/buildkitd.toml --root /tmp/bkbench_sandbox2265801043 --addr unix:///tmp/bkbench_sandbox2265801043/buildkitd.sock --debug --debugaddr 127.0.0.1:45099
time="2024-09-23T12:25:56Z" level=debug msg="debug handlers listening at 127.0.0.1:45099"
time="2024-09-23T12:25:56Z" level=info msg="auto snapshotter: using overlayfs"
time="2024-09-23T12:25:56Z" level=warning msg="using host network as the default"
time="2024-09-23T12:25:56Z" level=info msg="found worker \"q8syaf22dqoxrnkmbo3yy8xxu\", labels=map[org.mobyproject.buildkit.worker.executor:oci org.mobyproject.buildkit.worker.hostname:147448b8e79a org.mobyproject.buildkit.worker.sandbox:true org.mobyproject.buildkit.worker.snapshotter:overlayfs], platforms=[linux/amd64 linux/arm64 linux/riscv64 linux/ppc64le linux/s390x linux/386 linux/mips64le linux/mips64 linux/arm/v7 linux/arm/v6]"
time="2024-09-23T12:25:56Z" level=info msg="found 1 workers, default=\"q8syaf22dqoxrnkmbo3yy8xxu\""
time="2024-09-23T12:25:56Z" level=warning msg="currently, only the default worker can be used."
time="2024-09-23T12:25:56Z" level=info msg="running server on /tmp/bkbench_sandbox2265801043/buildkitd.sock"
time="2024-09-23T12:25:58Z" level=debug msg="session started" spanID=09d5969313338b2c traceID=bc5c1ffc4eef64dfdecbdd509f5951ac
time="2024-09-23T12:25:59Z" level=debug msg="session started" spanID=62f14f4b2c942138 traceID=87fa47076dd3e6318db3cdd17fb8f091
time="2024-09-23T12:25:59Z" level=debug msg="session started" spanID=9e4f01146e0b9906 traceID=cad65493e4dd3efc5524fdc72167b514
time="2024-09-23T12:26:00Z" level=debug msg="session started" spanID=ac2fd1952c44d95e traceID=e7d9692a32ec1bbdd225807d3aecb438
time="2024-09-23T12:26:00Z" level=debug msg="session started" spanID=5328428774f01d98 traceID=56cb00fe3e6f8b867043f8669a42348b
time="2024-09-23T12:26:00Z" level=debug msg="session started" spanID=4c7736a5f30da509 traceID=f3df81c070ad33abd3eed82813204ffc
time="2024-09-23T12:26:00Z" level=debug msg="session started" spanID=966c4e88933aed15 traceID=df8c3173d171e45f940add3c869ab41e
time="2024-09-23T12:26:00Z" level=debug msg="session started" spanID=033c8072225318ce traceID=e998bfdd7065d708f8467111d8132a7f
time="2024-09-23T12:26:00Z" level=debug msg="session finished: <nil>" spanID=09d5969313338b2c traceID=bc5c1ffc4eef64dfdecbdd509f5951ac
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=81578db23c44bf9e traceID=f9cd90483ca2b60569ca169ae9d19124
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=1a8ab317c83e19f9 traceID=0477d051aa5a5949b1f864d78b13fa2c
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=c5547700e80e4d43 traceID=110c5ee8c017ca3187a7974f510bcd29
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=5b3259d9d4e8b0d6 traceID=31de50756db048d3881e93a7435c1fbb
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=24f7e16012cd9afd traceID=a0f51e2c53f216ae7d6cbe605c20ba43
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=bebf8eda0f79ad27 traceID=1ab5ad7bf2f82193c5429c45718bf88f
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=05a7a561c245ad86 traceID=5113e7f9a4fdb67c239fa708bac7af97
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=2be0feab64f6471d traceID=12a8584d8ead223aeb4ba8b7c67d4e9f
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=9945a5892cdfbe44 traceID=165e2da3b972bed55a359c3b1dd2bfd7
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=5a7f41240186c968 traceID=70591f71fb7375cdd8171b1dd6934345
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=7b58856698c92ca3 traceID=8fc0939b83498b4e45620fc7cbe925a0
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=9f884f9426bb299f traceID=879b68297a0c405c9446b5c0ee2a370f
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=1d807867f072140e traceID=e962ec2dfde13102c1e267fb1b41f8df
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=a230387bc387b31f traceID=0db51b1e62cbc5d8a66ff24d96048700
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=e822145708227939 traceID=b20d231c38da9c53e53058825495518f
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=dd7a617cadeddfd3 traceID=0ea2fc1650498d2f96d24b9d495dd7e9
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=8751023b9edfa6eb traceID=da4dfe9e6de77640ea21f81843d2a2df
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=f4a244b304e3beb6 traceID=263f22b4f4ae4a80542bd4366a5b50fa
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=b2f8f53f83b19356 traceID=ade6599d0fd692c8aa49025d7f0e00bf
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=273e2ed4641e8909 traceID=1acdd590d41ca17d292f74d38c4a61d4
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=50e266cf0487a055 traceID=099e0216a71ffa80e34c5d8cedd9cc4b
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=0bfa4e285384f8e7 traceID=92f925c8ea79e279404438808cdc065f
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=b1268287cd715263 traceID=61d9fe4e272f47851b126a61f2dace28
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=fd808eb372e2f86a traceID=267aef722690553621c04fd94b9fe0b9
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=c9fc75cfa0c9e367 traceID=672ecd92818ef9486d8bc11d11e94a7b
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=712e8c6095d3ffba traceID=891cddc1ec1bc4d1e5a095df7dfd0cd5
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=ad76805a6826e8b3 traceID=c00bc3ae4c60094def98e5b871e954a5
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=62215b870fe68f9f traceID=ad96014e84f02e7b788c454891e17a01
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=6d61e73005246c37 traceID=0c145eeef2db4ab1944d5ae69599cb25
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=e50458d78a604bd1 traceID=1dc01e9c64b47d335d52d1524bcae403
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=e0c8f8853ae3c6c8 traceID=6b4e1dedd121a6987e65fda3eb089455
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=100da00132955d63 traceID=ccb85061ad59c980aeb59634b0dddf64
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=1254a3769f2bf0f1 traceID=02b7fc653575e2c532fad5b609578fd0
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=f160255acefaec03 traceID=886d985ceac840fce111fb3ebba16074
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=bfe46d5339d0e072 traceID=578f0c915ce167c1b4a31641cae96a28
time="2024-09-23T12:26:01Z" level=debug msg="session started" spanID=c48c74e8db3afc4a traceID=8167a52c94483eb7217d48a558c04cad
