stdout: /buildkit-binaries/v0.9.3/buildkitd --oci-worker=true --oci-worker-binary=/buildkit-binaries/v0.9.3/buildkit-runc --containerd-worker=false --oci-worker-gc=false --oci-worker-labels=org.mobyproject.buildkit.worker.sandbox=true --config=/tmp/bkbench_config3720100503/buildkitd.toml --root /tmp/bkbench_sandbox3238651094 --addr unix:///tmp/bkbench_sandbox3238651094/buildkitd.sock --debug --debugaddr 127.0.0.1:35197
stderr: /buildkit-binaries/v0.9.3/buildkitd --oci-worker=true --oci-worker-binary=/buildkit-binaries/v0.9.3/buildkit-runc --containerd-worker=false --oci-worker-gc=false --oci-worker-labels=org.mobyproject.buildkit.worker.sandbox=true --config=/tmp/bkbench_config3720100503/buildkitd.toml --root /tmp/bkbench_sandbox3238651094 --addr unix:///tmp/bkbench_sandbox3238651094/buildkitd.sock --debug --debugaddr 127.0.0.1:35197
> StartCmd 2024-09-23 12:28:53.479943653 +0000 UTC m=+1608.122443284 /buildkit-binaries/v0.9.3/buildkitd --oci-worker=true --oci-worker-binary=/buildkit-binaries/v0.9.3/buildkit-runc --containerd-worker=false --oci-worker-gc=false --oci-worker-labels=org.mobyproject.buildkit.worker.sandbox=true --config=/tmp/bkbench_config3720100503/buildkitd.toml --root /tmp/bkbench_sandbox3238651094 --addr unix:///tmp/bkbench_sandbox3238651094/buildkitd.sock --debug --debugaddr 127.0.0.1:35197
time="2024-09-23T12:28:53Z" level=debug msg="debug handlers listening at 127.0.0.1:35197"
time="2024-09-23T12:28:53Z" level=info msg="auto snapshotter: using overlayfs"
time="2024-09-23T12:28:53Z" level=warning msg="using host network as the default"
time="2024-09-23T12:28:53Z" level=info msg="found worker \"h9zuqz5bwssfywd8ish8hcuii\", labels=map[org.mobyproject.buildkit.worker.executor:oci org.mobyproject.buildkit.worker.hostname:147448b8e79a org.mobyproject.buildkit.worker.sandbox:true org.mobyproject.buildkit.worker.snapshotter:overlayfs], platforms=[linux/amd64 linux/arm64 linux/riscv64 linux/ppc64le linux/s390x linux/386 linux/mips64le linux/mips64 linux/arm/v7 linux/arm/v6]"
time="2024-09-23T12:28:53Z" level=info msg="found 1 workers, default=\"h9zuqz5bwssfywd8ish8hcuii\""
time="2024-09-23T12:28:53Z" level=warning msg="currently, only the default worker can be used."
time="2024-09-23T12:28:53Z" level=info msg="running server on /tmp/bkbench_sandbox3238651094/buildkitd.sock"
time="2024-09-23T12:28:55Z" level=debug msg="session started" spanID=bedd936e51fbc9fd traceID=076bb9ad29a5b3c937b1edf72bb17bd0
time="2024-09-23T12:28:56Z" level=debug msg="session started" spanID=74c9167389d10ff4 traceID=dd021f79ca04179ff4add635eb67a6a8
time="2024-09-23T12:28:56Z" level=debug msg="session started" spanID=716783f19bb4461f traceID=b579fc5f46ab55234bd282eb9e2e98ba
time="2024-09-23T12:28:57Z" level=debug msg="session started" spanID=f3431bfd85628076 traceID=e6ffc6314fda82d740f8789fc1e1c303
time="2024-09-23T12:28:57Z" level=debug msg="session started" spanID=3510e80d4009b4e0 traceID=f29421c8d26a661c5a1abc13702e9835
