stdout: /buildkit-binaries/2024-09-16/buildkitd --oci-worker=true --oci-worker-binary=/buildkit-binaries/2024-09-16/buildkit-runc --containerd-worker=false --oci-worker-gc=false --oci-worker-labels=org.mobyproject.buildkit.worker.sandbox=true --config=/tmp/bkbench_config282862173/buildkitd.toml --root /tmp/bkbench_sandbox476282080 --addr unix:///tmp/bkbench_sandbox476282080/buildkitd.sock --debug --debugaddr 127.0.0.1:43963
stderr: /buildkit-binaries/2024-09-16/buildkitd --oci-worker=true --oci-worker-binary=/buildkit-binaries/2024-09-16/buildkit-runc --containerd-worker=false --oci-worker-gc=false --oci-worker-labels=org.mobyproject.buildkit.worker.sandbox=true --config=/tmp/bkbench_config282862173/buildkitd.toml --root /tmp/bkbench_sandbox476282080 --addr unix:///tmp/bkbench_sandbox476282080/buildkitd.sock --debug --debugaddr 127.0.0.1:43963
> StartCmd 2024-09-24 14:39:24.603264984 +0000 UTC m=+1961.081154147 /buildkit-binaries/2024-09-16/buildkitd --oci-worker=true --oci-worker-binary=/buildkit-binaries/2024-09-16/buildkit-runc --containerd-worker=false --oci-worker-gc=false --oci-worker-labels=org.mobyproject.buildkit.worker.sandbox=true --config=/tmp/bkbench_config282862173/buildkitd.toml --root /tmp/bkbench_sandbox476282080 --addr unix:///tmp/bkbench_sandbox476282080/buildkitd.sock --debug --debugaddr 127.0.0.1:43963
time="2024-09-24T14:39:24Z" level=warning msg="failed to get disk size: no such file or directory"
time="2024-09-24T14:39:24Z" level=warning msg="failed to get disk size: no such file or directory"
time="2024-09-24T14:39:24Z" level=debug msg="debug handlers listening at 127.0.0.1:43963"
time="2024-09-24T14:39:24Z" level=info msg="auto snapshotter: using overlayfs"
time="2024-09-24T14:39:24Z" level=warning msg="using host network as the default"
time="2024-09-24T14:39:24Z" level=info msg="found worker \"z4i8yagp9ug3af1tvf538jycg\", labels=map[org.mobyproject.buildkit.worker.executor:oci org.mobyproject.buildkit.worker.hostname:13149d13570b org.mobyproject.buildkit.worker.network:host org.mobyproject.buildkit.worker.oci.process-mode:sandbox org.mobyproject.buildkit.worker.sandbox:true org.mobyproject.buildkit.worker.selinux.enabled:false org.mobyproject.buildkit.worker.snapshotter:overlayfs], platforms=[linux/amd64 linux/amd64/v2 linux/amd64/v3 linux/arm64 linux/riscv64 linux/ppc64le linux/s390x linux/386 linux/mips64le linux/mips64 linux/arm/v7 linux/arm/v6]"
time="2024-09-24T14:39:24Z" level=info msg="found 1 workers, default=\"z4i8yagp9ug3af1tvf538jycg\""
time="2024-09-24T14:39:24Z" level=warning msg="currently, only the default worker can be used."
time="2024-09-24T14:39:24Z" level=info msg="running server on /tmp/bkbench_sandbox476282080/buildkitd.sock"
time="2024-09-24T14:39:24Z" level=debug msg="session started" spanID=c85adaebeefedaac traceID=5dde4b7cbff55791ac7b91ca2adc6329
time="2024-09-24T14:39:24Z" level=debug msg="session finished: <nil>" spanID=c85adaebeefedaac traceID=5dde4b7cbff55791ac7b91ca2adc6329
time="2024-09-24T14:39:24Z" level=debug msg="session started" spanID=8aecd61fc3c45b6e traceID=191cf558262a0920e03663dd1e1240d3
time="2024-09-24T14:39:24Z" level=debug msg="session finished: <nil>" spanID=8aecd61fc3c45b6e traceID=191cf558262a0920e03663dd1e1240d3
time="2024-09-24T14:39:24Z" level=debug msg="session started" spanID=b2b15c71b4b2b7ad traceID=cdf0db33ca8444715c3a176233a934c2
time="2024-09-24T14:39:24Z" level=debug msg="session started" spanID=1fbd0c81bc5b2306 traceID=5dde4b7cbff55791ac7b91ca2adc6329
time="2024-09-24T14:39:24Z" level=debug msg="resolve exporter image with map[]" spanID=da5c4f404cae6464 traceID=5dde4b7cbff55791ac7b91ca2adc6329
time="2024-09-24T14:39:24Z" level=debug msg="session started" spanID=29c14bfae877ef1c traceID=8e560d96c9e8bb4cd828f5586efd5582
time="2024-09-24T14:39:24Z" level=debug msg="session started" spanID=d24466bea5fe43a0 traceID=485da382444412e709c5d45297341e3f
time="2024-09-24T14:39:24Z" level=debug msg="session started" spanID=fdd0125f7b2fcab2 traceID=191cf558262a0920e03663dd1e1240d3
time="2024-09-24T14:39:24Z" level=debug msg="resolve exporter image with map[]" spanID=823f0e1e75e857ac traceID=191cf558262a0920e03663dd1e1240d3
time="2024-09-24T14:39:24Z" level=debug msg="session started" spanID=aae4ec4acf51fe4b traceID=0949c851d9196b423ae50192f9e0858e
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=daa67c9036cd3a55 traceID=b1dbb8a2640227508c7152c486a9f394
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=2f47ab6f46a587f5 traceID=604e55055c80de3c6a314b734951f423
time="2024-09-24T14:39:25Z" level=debug msg="session finished: <nil>" spanID=aae4ec4acf51fe4b traceID=0949c851d9196b423ae50192f9e0858e
time="2024-09-24T14:39:25Z" level=debug msg="session finished: <nil>" spanID=29c14bfae877ef1c traceID=8e560d96c9e8bb4cd828f5586efd5582
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=450d543ab7a7ba0e traceID=5b32ca3b5690394328b0c621aa343b4e
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=e0e10b45b81acdf7 traceID=c6b0193d97f8d2d604df85065f136c71
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=2019239a9d458378 traceID=5245bc872fed64793afd741ffaa93223
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=39226e1a9d182ff4 traceID=fa784a10b2d6f5968f6b038385cd795a
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=99061e5bd7abf2df traceID=9b0e4c4764822cd070b07c03d1b27876
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=d1f659e8a051e944 traceID=a05936ba0720c41284b6ecb9de44327b
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=5cbd0e43c18f95c0 traceID=c24f400de1c6e0b2fe207895dd8515b2
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=aa76f36543e8c257 traceID=31296ac73bb05d5edcfd1956dd42fd9e
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=617df192387d33ad traceID=0c38fb8c6900596463296fb70d4c3e52
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=31160abc5fe5e53d traceID=7677a5ac30263fa6337008c354616e97
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=d34e3f75030aa71c traceID=8824cd68aa1fe02b60a9c72966b9c0e4
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=16148fff399df9df traceID=59f50663d52269c96db2cad2eb7cb71c
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=134c5597af6ce41b traceID=3014ad496a2d059491b54d0eb7e649a4
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=c73c6ea052fa2f2c traceID=134eca5498cf33102b3fa566bd0c2876
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=49c6f17b131f6e8f traceID=71fb8e6a95f86fcd5b34040d14d7fd54
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=272cada6c9be22ca traceID=1ed5f41384cd010ee6071324f6149724
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=16d6387635f22a2b traceID=435f8e72ef73600026fced83a8386178
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=f5ec762cf500004b traceID=e05f1c19ded735abd496b62bb2950bfb
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=6f95507d784f3b22 traceID=4a47d92456bfbe2b2278b4c90b467e29
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=4d465d971482ae16 traceID=97e143e3500a3854d39a2bd8a0899a1f
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=5f8708f74831b96e traceID=1d049c8b1e2fbcd813650932d3d0318c
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=f901ebc8012838fd traceID=0dd0b4b9e2811d10bb02c405fa587a22
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=728a78b1a91f74f4 traceID=c677e4c0d0916347afbea9f316b606b6
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=d249e2eb58403a52 traceID=8425dc48d10d0740a7e04e8a0044a456
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=4aba246d0b64198a traceID=e427eb19a2117e6fc4126e7530107f2c
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=c4419f37e7b79680 traceID=64e7a826eba214819916257ddab3220b
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=10cbfde3321a9ba4 traceID=cb15107582016048975341f9ea9d2cd0
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=ab321b7691428b84 traceID=02decf3545fd41312fd4eb5d6855b751
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=0414c7ad078219c7 traceID=d53b989e6c1ad3948f3299a57770af72
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=a420dede993fe282 traceID=034d8c32336767323d809fb6d71b2e11
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=d3ed0c658568fe46 traceID=a0767d4631a28acf46104777e49e1dc1
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=b17f54c51788a825 traceID=61f202d24dc18252652474cc6a33b1d7
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=095998abb197e778 traceID=d9846df746936384d6c14ba0526661e0
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=66b8a0c67b4bc547 traceID=6f4e83992fe1564cd5d8a06a2055201a
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=b6b79fc2b1748f8c traceID=a8d06a39f27decc6fa6f3d225a1382ca
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=c24ae4519edd3cb7 traceID=8e560d96c9e8bb4cd828f5586efd5582
time="2024-09-24T14:39:25Z" level=debug msg="resolve exporter image with map[]" spanID=5ba31cdf89a179f7 traceID=8e560d96c9e8bb4cd828f5586efd5582
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=62624ff90173403e traceID=f256d25d5225e21137793e37a69b32f7
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=f23a32b1feae1a5b traceID=7345dd960dda88fc2e5b128f562f1783
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=04eb0d69fa0da521 traceID=9be9e8f3f6408e326b3c65b44a9425a7
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=7dced43638f08101 traceID=7dccb41d68ae6e6c4663d3530b9e204e
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=dc067b7ecd4d7cfb traceID=ec55283108c55e9da45d8c610786fc34
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=733854d1c4fbbd49 traceID=2c75c1f4838593dfe68a989c1a214df0
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=e05b65ca20bf6c96 traceID=46ba2394e37ca28c37b7beb40a7ad1ea
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=ed615fff38622e35 traceID=bb03fd2f5b60b79f9c6c2ad92a8498a5
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=6d5fc89c9eeb653e traceID=06251eda22538c41bf3f9d3aeb78fccb
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=da175f7e25ed643d traceID=0949c851d9196b423ae50192f9e0858e
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=0b5624fbb0353079 traceID=315c789d717d8dd699d9560d8e40240e
time="2024-09-24T14:39:25Z" level=debug msg="resolve exporter image with map[]" spanID=1ecbaa57f86eca54 traceID=0949c851d9196b423ae50192f9e0858e
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=98fdcb19b8549923 traceID=729e73ca56fd07f7608fde04d04012e9
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=63eb3864412f2d06 traceID=289953047e392f8f1e875f8e1206613d
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=035eaa9ed2a273a6 traceID=3410e797a4035f5fdc5c52eb01ebd934
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=be8a2f99664241c5 traceID=56154b9a98fd0a03ddab77d2348f64b9
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=d808dc1b1c9c8314 traceID=aadbc866719bb6fe9ba738a686e159cc
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=c00dacc009d17013 traceID=e5f447b94db23cc8dd0c0270e741e599
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=39b8519f194faa4a traceID=06b8a0e55bc966614869e3ad54d3b1da
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=df306d24751bd790 traceID=a2479b9525255ade9e6607eea5725086
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=2ae9552eb1938981 traceID=4818177f3c639366ce298b5c5cc50f98
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=60154d4ec5939aed traceID=bc6729b06d122f276825036b97cc9749
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=ae05bf671c05d6e0 traceID=832bc0077f0790e60e487ff106a0eec8
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=233571c752258170 traceID=9bad27cec82ceb7355172a90586d96ff
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=c85e25991a839b6a traceID=8276e12138b3914f385c3400b0ca2ad3
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=f57873e1def586d0 traceID=97fb04d886d0dcb95708ee82b6a155d9
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=3a14ff215a30b89c traceID=45dac1b19e970f9c0641704c95032c9c
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=02c7ff5eb7080e78 traceID=a983c05294e79303a2f8a80fd232d74b
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=86bc51b9f2d46ee5 traceID=204d41dba637ce68e78e52ee3e322729
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=3c4caae95d82cc61 traceID=aa5cacf90e95986f1c8622a1999b0466
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=99e37957a3a1c2ae traceID=65bb575d1cd108a3d1e7bb189981da87
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=ecde1ddedabe7597 traceID=0bb49503036b8ef956b69525c7b8a5bb
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=61409f25d0ef137d traceID=26d2309306fe7379f5eb62a95ea1dbc6
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=c2ac6eab19944d78 traceID=4af7933d29bb3e2eb03063726a495f17
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=33def5566e2d3d87 traceID=8690157de4145338f9c1f00badcb05f5
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=7ee490edadb5ab84 traceID=94e9cd39bc04353664ce22e0e6153004
time="2024-09-24T14:39:25Z" level=debug msg="session started" spanID=6ba56600a67a5896 traceID=97df0ea9f73aacd950f371e4c2f0305c
